#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	COG(s)	Protein name
chr	NC_002946.2	728344	728556	-	3282071	-	NGO0729	YP_207860.1	70	-	phage associated protein
chr	NC_002946.2	728611	729264	-	3282091	-	NGO0730	YP_207861.1	217	-	IS1016 transposase
chr	NC_002946.2	729286	729570	-	3282077	-	NGO0731	YP_207862.1	94	-	phage associated protein
chr	NC_002946.2	729607	729870	-	3282073	-	NGO0732	YP_207863.1	87	-	phage associated protein
chr	NC_002946.2	731378	732157	-	3282175	-	NGO0734	YP_207864.1	259	-	oxidoreductase
chr	NC_002946.2	732156	732314	+	3282176	-	NGO0735	YP_207865.1	52	-	hypothetical protein NGO0735
chr	NC_002946.2	732449	732745	-	3282882	-	NGO0736	YP_207866.1	98	-	hypothetical protein NGO0736
chr	NC_002946.2	733057	734115	+	3281904	-	NGO0738	YP_207867.1	352	-	DNA polymerase IV
chr	NC_002946.2	734185	736200	-	3281848	-	NGO0739	YP_207868.1	671	-	ATP-dependent DNA helicase
chr	NC_002946.2	736220	736984	-	3281808	aroD	NGO0740	YP_207869.1	254	-	3-dehydroquinate dehydratase
chr	NC_002946.2	737184	738230	+	3281893	recA	NGO0741	YP_207870.1	348	-	recombinase A
chr	NC_002946.2	738883	739218	-	3281843	-	NGO0742	YP_207871.1	111	-	DNA-binding protein
chr	NC_002946.2	739299	741422	-	3281850	-	NGO0743	YP_207872.1	707	-	DNA polymerase III subunits gamma and tau
chr	NC_002946.2	741517	743493	-	3282588	mutL	NGO0744	YP_207873.1	658	-	DNA mismatch repair protein
chr	NC_002946.2	743637	743822	+	3282458	-	NGO0745	YP_207874.1	61	-	hypothetical protein NGO0745
chr	NC_002946.2	743833	744501	+	3282607	-	NGO0746	YP_207875.1	222	-	O-methyltransferase
chr	NC_002946.2	744501	745214	+	3281461	-	NGO0747	YP_207876.1	237	-	hypothetical protein NGO0747
chr	NC_002946.2	745262	745747	+	3282594	-	NGO0748	YP_207877.1	161	-	N5-carboxyaminoimidazole ribonucleotide mutase
chr	NC_002946.2	747669	748577	+	3282603	-	NGO0751	YP_207878.1	302	-	hypothetical protein NGO0751
chr	NC_002946.2	748733	749389	-	3282599	-	NGO0752	YP_207879.1	218	-	two component system transcriptional response regulator NarL/NarP
chr	NC_002946.2	749386	751155	-	3282610	-	NGO0753	YP_207880.1	589	-	two-component system sensor kinase NarX/NarQ
chr	NC_002946.2	751362	751976	+	3282496	-	NGO0754	YP_207881.1	204	-	molybdopterin-guanine dinucleotide biosynthesis protein
chr	NC_002946.2	752139	752756	+	3282502	-	NGO0755	YP_207882.2	205	-	riboflavin synthase subunit alpha
chr	NC_002946.2	752764	753627	+	3282484	-	NGO0756	YP_207883.1	287	-	hypothetical protein NGO0756
chr	NC_002946.2	753640	754074	-	3281881	-	NGO0757	YP_207884.1	144	-	hypothetical protein NGO0757
chr	NC_002946.2	754220	754912	+	3281868	-	NGO0758	YP_207885.1	230	-	ribulose-phosphate 3-epimerase
chr	NC_002946.2	755001	755147	-	3281973	-	NGO0759	YP_207886.1	48	-	hypothetical protein NGO0759
chr	NC_002946.2	755151	756182	-	3282478	ruvB	NGO0760	YP_207887.1	343	-	Holliday junction DNA helicase RuvB
chr	NC_002946.2	756266	756574	-	3282482	-	NGO0761	YP_207888.1	102	-	hypothetical protein NGO0761
chr	NC_002946.2	756606	756746	+	3282474	-	NGO0762	YP_207889.1	46	-	hypothetical protein NGO0762
chr	NC_002946.2	756992	758224	-	3283071	cca	NGO0763	YP_207890.1	410	-	multifunctional tRNA nucleotidyl transferase/2\'3\'-cyclic phosphodiesterase/2\'nucleotidase/phosphatase
chr	NC_002946.2	758303	759931	-	3282480	-	NGO0764	YP_207891.1	542	-	ABC transporter ATP-binding protein
chr	NC_002946.2	760081	760455	+	3282343	-	NGO0765	YP_207892.1	124	-	arsenate reductase family protein
chr	NC_002946.2	760504	762042	+	3282473	-	NGO0766	YP_207893.1	512	-	peptidyl-prolyl cis-trans isomerase
chr	NC_002946.2	762109	762726	+	3282500	recR	NGO0767	YP_207894.1	205	-	recombination protein RecR
chr	NC_002946.2	762907	763158	-	3282881	-	NGO0768	YP_207895.1	83	-	hypothetical protein NGO0768
chr	NC_002946.2	763287	764534	+	3282005	-	NGO0769	YP_207896.1	415	-	lipoprotein releasing system transmembrane protein
chr	NC_002946.2	764527	765222	+	3282041	-	NGO0770	YP_207897.1	231	-	lipoprotein releasing system ATP-binding protein
chr	NC_002946.2	765289	767034	+	3282027	-	NGO0771	YP_207898.1	581	-	exodeoxyribonuclease V subunit alpha
chr	NC_002946.2	767722	768723	+	3282015	-	NGO0773	YP_207899.1	333	-	transposase IS116/IS110/IS902 family protein
chr	NC_002946.2	768871	769440	+	3282020	-	NGO0774	YP_207900.1	189	-	hypothetical protein NGO0774
chr	NC_002946.2	769563	772025	+	3281944	-	NGO0775	YP_207901.1	820	-	ATP-dependent Lon protease
chr	NC_002946.2	772207	772476	+	3281874	-	NGO0777	YP_207903.1	89	-	DNA-binding protein Hu-beta
chr	NC_002946.2	772652	773086	-	3281948	-	NGO0778	YP_207904.1	144	-	membrane protein
chr	NC_002946.2	773079	774386	-	3281861	-	NGO0779	YP_207905.1	435	-	homoserine dehydrogenase
chr	NC_002946.2	774582	774953	+	3281841	-	NGO0780	YP_207906.1	123	-	hypothetical protein NGO0780
chr	NC_002946.2	775030	776952	+	3282192	-	NGO0781	YP_207907.1	640	-	ABC transporter ATP-binding protein
chr	NC_002946.2	776978	777334	+	3281913	-	NGO0782	YP_207908.1	118	-	hypothetical protein NGO0782
chr	NC_002946.2	777425	777937	+	3281943	-	NGO0783	YP_207909.1	170	-	hypothetical protein NGO0783
chr	NC_002946.2	777985	778161	+	3281903	-	NGO0784	YP_207910.1	58	-	hypothetical protein NGO0784
chr	NC_002946.2	778408	778830	+	3281960	-	NGO0785	YP_207911.1	140	-	hypothetical protein NGO0785
chr	NC_002946.2	778867	779526	-	3281984	-	NGO0786	YP_207912.1	219	-	uracil-DNA glycosylase
chr	NC_002946.2	779607	780014	+	3281995	-	NGO0787	YP_207913.1	135	-	membrane protein
chr	NC_002946.2	780029	780976	+	3281955	-	NGO0788	YP_207914.1	315	-	membrane protease
chr	NC_002946.2	781083	782153	-	3281901	-	NGO0789	YP_207915.1	356	-	membrane protein
chr	NC_002946.2	782338	782613	+	3281959	-	NGO0791	YP_207917.1	91	-	hypothetical protein NGO0791
chr	NC_002946.2	782666	783238	+	3281911	lipB	NGO0792	YP_207918.1	190	-	octanoyltransferase
